0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:07:14 +0700] "GET /WebBanHang/assets/img/a.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:07:14 +0700] "GET /WebBanHang/assets/img/b.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:07:14 +0700] "GET /WebBanHang/assets/img/c.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:07:14 +0700] "GET /WebBanHang/assets/img/d.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:07:14 +0700] "GET /WebBanHang/assets/img/g.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:07:14 +0700] "GET /WebBanHang/assets/img/e.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:07:14 +0700] "GET /WebBanHang/assets/img/f.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:07:14 +0700] "GET /WebBanHang/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:07:14 +0700] "GET /WebBanHang/assets/img/i.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:07:14 +0700] "GET /WebBanHang/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:07:14 +0700] "GET /WebBanHang/assets/img/h.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:07:14 +0700] "GET /WebBanHang/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:07:14 +0700] "GET /WebBanHang/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:07:14 +0700] "GET /WebBanHang/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:07:14 +0700] "GET /WebBanHang/assets/img/5.png HTTP/1.1" 404 682
